index,risks
1625,"['Reputation risk', 'Financial risk', 'Safety risk', 'Operational risk']"
1629,"['Risk marginal benefit risk', 'Uncertainty risk', 'Extreme risk loss risk', 'Flood control risk']"
1631,"['Operational risk', 'Reputation risk', 'Flood risk', 'Regulatory risk', 'Environmental risk']"
1632,['Health risk']
1634,['Safety risks']
1636,"['related risks', 'Seismic risks']"
1638,"['Economic risk', 'Health risk', 'Social risk', 'Environmental risk']"
1640,"['Flood disaster risk', 'flood disaster risk']"
1641,['Security risks']
1642,"['engineering risk', 'structural components risk', 'Seismic hazard risk', 'Earthquake risk', 'geological risk']"
1644,"['Financial risk', 'Fall risk', 'Safety risk', 'Cost escalation risk', 'Flood risk', 'Environmental risk']"
1645,"['Landslide risk', 'Geotechnical risk', 'Debris flow risk']"
1647,"['environmental and social risks', 'Financial risk', 'human safety risks', 'Human safety risk', 'Social risk', 'Environmental risk']"
1650,"['Flood risks', 'Fire risks', 'Vehicle design risks', 'Seismic risk']"
1651,"['Mental load risks', 'Perceived risk', 'Increasing flood risks', 'Safety risks', 'Governance risks', 'Time pressure risks']"
1654,"['Soil quality criteria risk', 'Schedule risk', 'Leakage risk']"
1655,"['Nonstructural component risk', 'Seismic risk', 'Structural risk', 'Life safety risk']"
1656,"['Hazardous materials risks', 'Population risks', 'Network risks', 'Superimposed risks', 'Transportation risks', 'Chemical reaction risks', 'Interactions between different types of hazmat risks', 'Inventory risks', 'Road closure policy risks']"
1657,"['Inadequate communication of contaminated land risk', 'Reputation risk', 'Operational risk', 'Increased public concern about human health risk', 'Regulatory risk', 'Health risk', 'Environmental risk']"
1659,['Price risk']
1661,"['insolvency risks', 'Concessionaire risks', 'Currency risks', 'Construction industry risks', 'Fluctuation of inflation rate risks', 'Occupational safety and health risks', 'Financial risks', 'Design changes risks']"
1663,"['Limited control over construction risks', 'specific risk', 'Operational risk']"
1664,"['Reputation risk', 'Financial risk', 'Environmental risk', 'Operational risk']"
1666,"['Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
1667,"['Uncertainty risk', 'Variability risk', 'Unknown impact of bioremediation on risk', 'Health risk', 'Environmental risk']"
1668,"['Water demand risk', 'related risk', 'Irrigation water risk', 'Agricultural risk', 'Environmental risk']"
1672,['risk']
1675,"['value risk', 'Water absorption coefficient risk', 'Brick type and masonry structure risk', 'driven rain load risks', 'Brick type and masonry structure risks', 'Moisture damage risks', 'value risks', 'driven rain load risk']"
1676,['Dam failure risk']
1677,['Increasing flood risk']
1678,"['Growing population risk', 'Governance risk', 'Sea level rise risk', 'Climate change risk', 'Extreme weather events risk', 'Economic risk', 'Environmental risk', 'Land use change risk', 'Social risk', 'Flood risk']"
1679,"['cycle risk', 'Geological risk', 'Uncertainty risk', 'Geotechnical risk']"
1680,"['Economic risk', 'Geological risk', 'Social risk', 'Environmental risk']"
1684,"['Security of cut slope risks', 'Landform and physiognomy risks', 'Slope engineering risks', 'Uncertainty factors risks', 'Complex geological environment risks']"
1687,"['Duration risk', 'Safety risks', 'Unknown risks', 'Health risks']"
1688,"['Inconsistency risk', 'Inaccuracy risk', 'Data quality risk']"
1689,"['Safety risk', 'Unquantifiable risk', 'Construction risk', 'Control risk', 'Subjective risk']"
1690,"['Infrastructure risk', 'Community risk', 'Human activity risk', 'Geological risk', 'Natural disaster risk', 'Environmental risk']"
1691,"['Geological risk', 'Seismic risk']"
1693,"['Technical risk', 'Economic risk', 'Reputation risk', 'Regulatory risk', 'Social risk', 'Environmental risk']"
1694,"['Carcinogenic risk', 'Health risk', 'Accident risk', 'Environmental risk']"
1697,"['Financial risk', 'Safety risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Underestimated safety risk']"
1698,"['Health risks', 'Workplace safety risks']"
1700,"['Earthquake risk', 'Foundation risk', 'Environmental risk', 'Structural risk']"
1702,"['Reputation risk', 'Financial risk', 'Safety risk', 'Operational risk']"
1706,"['Risk marginal benefit risk', 'Uncertainty risk', 'Extreme risk loss risk', 'Flood control risk']"
1708,"['Operational risk', 'Reputation risk', 'Flood risk', 'Regulatory risk', 'Environmental risk']"
1709,['Health risk']
1711,['Safety risks']
1713,"['related risks', 'Seismic risks']"
1715,"['Economic risk', 'Health risk', 'Social risk', 'Environmental risk']"
1717,"['Flood disaster risk', 'flood disaster risk']"
1718,['Security risks']
1719,"['engineering risk', 'structural components risk', 'Seismic hazard risk', 'Earthquake risk', 'geological risk']"
1721,"['Financial risk', 'Fall risk', 'Safety risk', 'Cost escalation risk', 'Flood risk', 'Environmental risk']"
1722,"['Landslide risk', 'Geotechnical risk', 'Debris flow risk']"
1724,"['environmental and social risks', 'Financial risk', 'human safety risks', 'Human safety risk', 'Social risk', 'Environmental risk']"
1727,"['Flood risks', 'Fire risks', 'Vehicle design risks', 'Seismic risk']"
1728,"['Mental load risks', 'Perceived risk', 'Increasing flood risks', 'Safety risks', 'Governance risks', 'Time pressure risks']"
1731,"['Soil quality criteria risk', 'Schedule risk', 'Leakage risk']"
1732,"['Nonstructural component risk', 'Seismic risk', 'Structural risk', 'Life safety risk']"
1733,"['Hazardous materials risks', 'Population risks', 'Network risks', 'Superimposed risks', 'Transportation risks', 'Chemical reaction risks', 'Interactions between different types of hazmat risks', 'Inventory risks', 'Road closure policy risks']"
1734,"['Inadequate communication of contaminated land risk', 'Reputation risk', 'Operational risk', 'Increased public concern about human health risk', 'Regulatory risk', 'Health risk', 'Environmental risk']"
1736,['Price risk']
1738,"['insolvency risks', 'Concessionaire risks', 'Currency risks', 'Construction industry risks', 'Fluctuation of inflation rate risks', 'Occupational safety and health risks', 'Financial risks', 'Design changes risks']"
1740,"['Limited control over construction risks', 'specific risk', 'Operational risk']"
1741,"['Reputation risk', 'Financial risk', 'Environmental risk', 'Operational risk']"
1743,"['Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
1744,"['Uncertainty risk', 'Variability risk', 'Unknown impact of bioremediation on risk', 'Health risk', 'Environmental risk']"
1745,"['Water demand risk', 'related risk', 'Irrigation water risk', 'Agricultural risk', 'Environmental risk']"
1749,['risk']
1752,"['value risk', 'Water absorption coefficient risk', 'Brick type and masonry structure risk', 'driven rain load risks', 'Brick type and masonry structure risks', 'Moisture damage risks', 'value risks', 'driven rain load risk']"
1755,"['Inadequate identification and assessment of risks', 'Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
1756,['Unknown or unspecified risks']
1757,"['Technical risk', 'Health and safety risk', 'Inadequate assessment of system risk', 'Organizational risk', 'Operational risk', 'Environmental risk']"
1758,['Dam failure risk']
1759,['Increasing flood risk']
1760,"['Growing population risk', 'Governance risk', 'Sea level rise risk', 'Climate change risk', 'Extreme weather events risk', 'Economic risk', 'Environmental risk', 'Land use change risk', 'Social risk', 'Flood risk']"
1761,"['cycle risk', 'Geological risk', 'Uncertainty risk', 'Geotechnical risk']"
1762,"['Economic risk', 'Geological risk', 'Social risk', 'Environmental risk']"
1766,"['Security of cut slope risks', 'Landform and physiognomy risks', 'Slope engineering risks', 'Uncertainty factors risks', 'Complex geological environment risks']"
1769,"['Duration risk', 'Safety risks', 'Unknown risks', 'Health risks']"
1770,"['Inconsistency risk', 'Inaccuracy risk', 'Data quality risk']"
1771,"['Safety risk', 'Unquantifiable risk', 'Construction risk', 'Control risk', 'Subjective risk']"
1772,"['Infrastructure risk', 'Community risk', 'Human activity risk', 'Geological risk', 'Natural disaster risk', 'Environmental risk']"
1773,"['Geological risk', 'Seismic risk']"
1775,"['Technical risk', 'Economic risk', 'Reputation risk', 'Regulatory risk', 'Social risk', 'Environmental risk']"
1776,"['Carcinogenic risk', 'Health risk', 'Accident risk', 'Environmental risk']"
1779,"['Financial risk', 'Safety risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Underestimated safety risk']"
1780,"['Health risks', 'Workplace safety risks']"
1782,"['Earthquake risk', 'Foundation risk', 'Environmental risk', 'Structural risk']"
1784,"['Reputation risk', 'Financial risk', 'Safety risk', 'Operational risk']"
1788,"['Risk marginal benefit risk', 'Uncertainty risk', 'Extreme risk loss risk', 'Flood control risk']"
1790,"['Operational risk', 'Reputation risk', 'Flood risk', 'Regulatory risk', 'Environmental risk']"
1791,['Health risk']
1793,['Safety risks']
1795,"['related risks', 'Seismic risks']"
1797,"['Economic risk', 'Health risk', 'Social risk', 'Environmental risk']"
1799,"['Flood disaster risk', 'flood disaster risk']"
1800,['Security risks']
1801,"['engineering risk', 'structural components risk', 'Seismic hazard risk', 'Earthquake risk', 'geological risk']"
1803,"['Financial risk', 'Fall risk', 'Safety risk', 'Cost escalation risk', 'Flood risk', 'Environmental risk']"
1804,"['Landslide risk', 'Geotechnical risk', 'Debris flow risk']"
1806,"['environmental and social risks', 'Financial risk', 'human safety risks', 'Human safety risk', 'Social risk', 'Environmental risk']"
1809,"['Flood risks', 'Fire risks', 'Vehicle design risks', 'Seismic risk']"
1810,"['Mental load risks', 'Perceived risk', 'Increasing flood risks', 'Safety risks', 'Governance risks', 'Time pressure risks']"
1813,"['Soil quality criteria risk', 'Schedule risk', 'Leakage risk']"
1814,"['Nonstructural component risk', 'Seismic risk', 'Structural risk', 'Life safety risk']"
1815,"['Hazardous materials risks', 'Population risks', 'Network risks', 'Superimposed risks', 'Transportation risks', 'Chemical reaction risks', 'Interactions between different types of hazmat risks', 'Inventory risks', 'Road closure policy risks']"
1816,"['Inadequate communication of contaminated land risk', 'Reputation risk', 'Operational risk', 'Increased public concern about human health risk', 'Regulatory risk', 'Health risk', 'Environmental risk']"
1818,['Price risk']
1820,"['insolvency risks', 'Concessionaire risks', 'Currency risks', 'Construction industry risks', 'Fluctuation of inflation rate risks', 'Occupational safety and health risks', 'Financial risks', 'Design changes risks']"
1822,"['Limited control over construction risks', 'specific risk', 'Operational risk']"
1823,"['Reputation risk', 'Financial risk', 'Environmental risk', 'Operational risk']"
1825,"['Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
1826,"['Uncertainty risk', 'Variability risk', 'Unknown impact of bioremediation on risk', 'Health risk', 'Environmental risk']"
1827,"['Water demand risk', 'related risk', 'Irrigation water risk', 'Agricultural risk', 'Environmental risk']"
1831,['risk']
1834,"['value risk', 'Water absorption coefficient risk', 'Brick type and masonry structure risk', 'driven rain load risks', 'Brick type and masonry structure risks', 'Moisture damage risks', 'value risks', 'driven rain load risk']"
1837,"['Inadequate identification and assessment of risks', 'Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
1838,['Unknown or unspecified risks']
1839,"['Technical risk', 'Health and safety risk', 'Inadequate assessment of system risk', 'Organizational risk', 'Operational risk', 'Environmental risk']"
1840,"['Fire risk', 'fire risk']"
1841,"['Coastal hazard risk', 'Flood risk', 'Wind exceedance risk']"
1842,['Inadequate understanding and prediction of seismic risks']
1844,"['Risk assessment model risk', 'Uncertainty risk', 'Data collection and analysis risk', 'Operational risk', 'Implementation risk', 'Expert opinion risk', 'Damage to bridges due to various risks']"
1845,['Dam failure risk']
1846,['Increasing flood risk']
1847,"['Growing population risk', 'Governance risk', 'Sea level rise risk', 'Climate change risk', 'Extreme weather events risk', 'Economic risk', 'Environmental risk', 'Land use change risk', 'Social risk', 'Flood risk']"
1848,"['cycle risk', 'Geological risk', 'Uncertainty risk', 'Geotechnical risk']"
1849,"['Economic risk', 'Geological risk', 'Social risk', 'Environmental risk']"
1853,"['Security of cut slope risks', 'Landform and physiognomy risks', 'Slope engineering risks', 'Uncertainty factors risks', 'Complex geological environment risks']"
1856,"['Duration risk', 'Safety risks', 'Unknown risks', 'Health risks']"
1857,"['Inconsistency risk', 'Inaccuracy risk', 'Data quality risk']"
1858,"['Safety risk', 'Unquantifiable risk', 'Construction risk', 'Control risk', 'Subjective risk']"
1859,"['Infrastructure risk', 'Community risk', 'Human activity risk', 'Geological risk', 'Natural disaster risk', 'Environmental risk']"
1860,"['Geological risk', 'Seismic risk']"
1862,"['Technical risk', 'Economic risk', 'Reputation risk', 'Regulatory risk', 'Social risk', 'Environmental risk']"
1863,"['Carcinogenic risk', 'Health risk', 'Accident risk', 'Environmental risk']"
1866,"['Financial risk', 'Safety risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Underestimated safety risk']"
1867,"['Health risks', 'Workplace safety risks']"
1869,"['Earthquake risk', 'Foundation risk', 'Environmental risk', 'Structural risk']"
1871,"['Reputation risk', 'Financial risk', 'Safety risk', 'Operational risk']"
1875,"['Risk marginal benefit risk', 'Uncertainty risk', 'Extreme risk loss risk', 'Flood control risk']"
1877,"['Operational risk', 'Reputation risk', 'Flood risk', 'Regulatory risk', 'Environmental risk']"
1878,['Health risk']
1880,['Safety risks']
1882,"['related risks', 'Seismic risks']"
1884,"['Economic risk', 'Health risk', 'Social risk', 'Environmental risk']"
1886,"['Flood disaster risk', 'flood disaster risk']"
1887,['Security risks']
1888,"['engineering risk', 'structural components risk', 'Seismic hazard risk', 'Earthquake risk', 'geological risk']"
1890,"['Financial risk', 'Fall risk', 'Safety risk', 'Cost escalation risk', 'Flood risk', 'Environmental risk']"
1891,"['Landslide risk', 'Geotechnical risk', 'Debris flow risk']"
1893,"['environmental and social risks', 'Financial risk', 'human safety risks', 'Human safety risk', 'Social risk', 'Environmental risk']"
1896,"['Flood risks', 'Fire risks', 'Vehicle design risks', 'Seismic risk']"
1897,"['Mental load risks', 'Perceived risk', 'Increasing flood risks', 'Safety risks', 'Governance risks', 'Time pressure risks']"
1900,"['Soil quality criteria risk', 'Schedule risk', 'Leakage risk']"
1901,"['Nonstructural component risk', 'Seismic risk', 'Structural risk', 'Life safety risk']"
1902,"['Hazardous materials risks', 'Population risks', 'Network risks', 'Superimposed risks', 'Transportation risks', 'Chemical reaction risks', 'Interactions between different types of hazmat risks', 'Inventory risks', 'Road closure policy risks']"
1903,"['Inadequate communication of contaminated land risk', 'Reputation risk', 'Operational risk', 'Increased public concern about human health risk', 'Regulatory risk', 'Health risk', 'Environmental risk']"
1905,['Price risk']
1907,"['insolvency risks', 'Concessionaire risks', 'Currency risks', 'Construction industry risks', 'Fluctuation of inflation rate risks', 'Occupational safety and health risks', 'Financial risks', 'Design changes risks']"
1909,"['Limited control over construction risks', 'specific risk', 'Operational risk']"
1910,"['Reputation risk', 'Financial risk', 'Environmental risk', 'Operational risk']"
1912,"['Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
1913,"['Uncertainty risk', 'Variability risk', 'Unknown impact of bioremediation on risk', 'Health risk', 'Environmental risk']"
1914,"['Water demand risk', 'related risk', 'Irrigation water risk', 'Agricultural risk', 'Environmental risk']"
1918,['risk']
1921,"['value risk', 'Water absorption coefficient risk', 'Brick type and masonry structure risk', 'driven rain load risks', 'Brick type and masonry structure risks', 'Moisture damage risks', 'value risks', 'driven rain load risk']"
1924,"['Inadequate identification and assessment of risks', 'Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
1925,['Unknown or unspecified risks']
1926,"['Technical risk', 'Health and safety risk', 'Inadequate assessment of system risk', 'Organizational risk', 'Operational risk', 'Environmental risk']"
1927,"['Fire risk', 'fire risk']"
1928,"['Coastal hazard risk', 'Flood risk', 'Wind exceedance risk']"
1929,['Inadequate understanding and prediction of seismic risks']
1931,"['Risk assessment model risk', 'Uncertainty risk', 'Data collection and analysis risk', 'Operational risk', 'Implementation risk', 'Expert opinion risk', 'Damage to bridges due to various risks']"
1933,"['Entrepreneurial risk', 'Political risk']"
1948,['Dam failure risk']
1949,['Increasing flood risk']
1950,"['Growing population risk', 'Governance risk', 'Sea level rise risk', 'Climate change risk', 'Extreme weather events risk', 'Economic risk', 'Environmental risk', 'Land use change risk', 'Social risk', 'Flood risk']"
1951,"['cycle risk', 'Geological risk', 'Uncertainty risk', 'Geotechnical risk']"
1952,"['Economic risk', 'Geological risk', 'Social risk', 'Environmental risk']"
1956,"['Security of cut slope risks', 'Landform and physiognomy risks', 'Slope engineering risks', 'Uncertainty factors risks', 'Complex geological environment risks']"
1959,"['Duration risk', 'Safety risks', 'Unknown risks', 'Health risks']"
1960,"['Inconsistency risk', 'Inaccuracy risk', 'Data quality risk']"
1961,"['Safety risk', 'Unquantifiable risk', 'Construction risk', 'Control risk', 'Subjective risk']"
1962,"['Infrastructure risk', 'Community risk', 'Human activity risk', 'Geological risk', 'Natural disaster risk', 'Environmental risk']"
1963,"['Geological risk', 'Seismic risk']"
1965,"['Technical risk', 'Economic risk', 'Reputation risk', 'Regulatory risk', 'Social risk', 'Environmental risk']"
1966,"['Carcinogenic risk', 'Health risk', 'Accident risk', 'Environmental risk']"
1969,"['Financial risk', 'Safety risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Underestimated safety risk']"
1970,"['Health risks', 'Workplace safety risks']"
1972,"['Earthquake risk', 'Foundation risk', 'Environmental risk', 'Structural risk']"
1974,"['Reputation risk', 'Financial risk', 'Safety risk', 'Operational risk']"
1978,"['Risk marginal benefit risk', 'Uncertainty risk', 'Extreme risk loss risk', 'Flood control risk']"
1980,"['Operational risk', 'Reputation risk', 'Flood risk', 'Regulatory risk', 'Environmental risk']"
1981,['Health risk']
1983,['Safety risks']
1985,"['related risks', 'Seismic risks']"
1987,"['Economic risk', 'Health risk', 'Social risk', 'Environmental risk']"
1989,"['Flood disaster risk', 'flood disaster risk']"
1990,['Security risks']
1991,"['engineering risk', 'structural components risk', 'Seismic hazard risk', 'Earthquake risk', 'geological risk']"
1993,"['Financial risk', 'Fall risk', 'Safety risk', 'Cost escalation risk', 'Flood risk', 'Environmental risk']"
1994,"['Landslide risk', 'Geotechnical risk', 'Debris flow risk']"
1996,"['environmental and social risks', 'Financial risk', 'human safety risks', 'Human safety risk', 'Social risk', 'Environmental risk']"
1999,"['Flood risks', 'Fire risks', 'Vehicle design risks', 'Seismic risk']"
2000,"['Mental load risks', 'Perceived risk', 'Increasing flood risks', 'Safety risks', 'Governance risks', 'Time pressure risks']"
2003,"['Soil quality criteria risk', 'Schedule risk', 'Leakage risk']"
2004,"['Nonstructural component risk', 'Seismic risk', 'Structural risk', 'Life safety risk']"
2005,"['Hazardous materials risks', 'Population risks', 'Network risks', 'Superimposed risks', 'Transportation risks', 'Chemical reaction risks', 'Interactions between different types of hazmat risks', 'Inventory risks', 'Road closure policy risks']"
2006,"['Inadequate communication of contaminated land risk', 'Reputation risk', 'Operational risk', 'Increased public concern about human health risk', 'Regulatory risk', 'Health risk', 'Environmental risk']"
2008,['Price risk']
2010,"['insolvency risks', 'Concessionaire risks', 'Currency risks', 'Construction industry risks', 'Fluctuation of inflation rate risks', 'Occupational safety and health risks', 'Financial risks', 'Design changes risks']"
2012,"['Limited control over construction risks', 'specific risk', 'Operational risk']"
2013,"['Reputation risk', 'Financial risk', 'Environmental risk', 'Operational risk']"
2015,"['Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
2016,"['Uncertainty risk', 'Variability risk', 'Unknown impact of bioremediation on risk', 'Health risk', 'Environmental risk']"
2017,"['Water demand risk', 'related risk', 'Irrigation water risk', 'Agricultural risk', 'Environmental risk']"
2021,['risk']
2024,"['value risk', 'Water absorption coefficient risk', 'Brick type and masonry structure risk', 'driven rain load risks', 'Brick type and masonry structure risks', 'Moisture damage risks', 'value risks', 'driven rain load risk']"
2027,"['Inadequate identification and assessment of risks', 'Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
2028,['Unknown or unspecified risks']
2029,"['Technical risk', 'Health and safety risk', 'Inadequate assessment of system risk', 'Organizational risk', 'Operational risk', 'Environmental risk']"
2030,"['Fire risk', 'fire risk']"
2031,"['Coastal hazard risk', 'Flood risk', 'Wind exceedance risk']"
2032,['Inadequate understanding and prediction of seismic risks']
2034,"['Risk assessment model risk', 'Uncertainty risk', 'Data collection and analysis risk', 'Operational risk', 'Implementation risk', 'Expert opinion risk', 'Damage to bridges due to various risks']"
2036,"['Entrepreneurial risk', 'Political risk']"
2051,"['Lack of understanding of contract change risks', 'Financial risk', 'Operational risk', 'Reputation risk', 'Compliance risk']"
2052,['collapse risk']
2054,['Safety risk']
2056,['Dam failure risk']
2057,['Increasing flood risk']
2058,"['Growing population risk', 'Governance risk', 'Sea level rise risk', 'Climate change risk', 'Extreme weather events risk', 'Economic risk', 'Environmental risk', 'Land use change risk', 'Social risk', 'Flood risk']"
2059,"['cycle risk', 'Geological risk', 'Uncertainty risk', 'Geotechnical risk']"
2060,"['Economic risk', 'Geological risk', 'Social risk', 'Environmental risk']"
2064,"['Security of cut slope risks', 'Landform and physiognomy risks', 'Slope engineering risks', 'Uncertainty factors risks', 'Complex geological environment risks']"
2067,"['Duration risk', 'Safety risks', 'Unknown risks', 'Health risks']"
2068,"['Inconsistency risk', 'Inaccuracy risk', 'Data quality risk']"
2069,"['Safety risk', 'Unquantifiable risk', 'Construction risk', 'Control risk', 'Subjective risk']"
2070,"['Infrastructure risk', 'Community risk', 'Human activity risk', 'Geological risk', 'Natural disaster risk', 'Environmental risk']"
2071,"['Geological risk', 'Seismic risk']"
2073,"['Technical risk', 'Economic risk', 'Reputation risk', 'Regulatory risk', 'Social risk', 'Environmental risk']"
2074,"['Carcinogenic risk', 'Health risk', 'Accident risk', 'Environmental risk']"
2077,"['Financial risk', 'Safety risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Underestimated safety risk']"
2078,"['Health risks', 'Workplace safety risks']"
2080,"['Earthquake risk', 'Foundation risk', 'Environmental risk', 'Structural risk']"
2082,"['Reputation risk', 'Financial risk', 'Safety risk', 'Operational risk']"
2086,"['Risk marginal benefit risk', 'Uncertainty risk', 'Extreme risk loss risk', 'Flood control risk']"
2088,"['Operational risk', 'Reputation risk', 'Flood risk', 'Regulatory risk', 'Environmental risk']"
2089,['Health risk']
2091,['Safety risks']
2093,"['related risks', 'Seismic risks']"
2095,"['Economic risk', 'Health risk', 'Social risk', 'Environmental risk']"
2097,"['Flood disaster risk', 'flood disaster risk']"
2098,['Security risks']
2099,"['engineering risk', 'structural components risk', 'Seismic hazard risk', 'Earthquake risk', 'geological risk']"
2101,"['Financial risk', 'Fall risk', 'Safety risk', 'Cost escalation risk', 'Flood risk', 'Environmental risk']"
2102,"['Landslide risk', 'Geotechnical risk', 'Debris flow risk']"
2104,"['environmental and social risks', 'Financial risk', 'human safety risks', 'Human safety risk', 'Social risk', 'Environmental risk']"
2107,"['Flood risks', 'Fire risks', 'Vehicle design risks', 'Seismic risk']"
2108,"['Mental load risks', 'Perceived risk', 'Increasing flood risks', 'Safety risks', 'Governance risks', 'Time pressure risks']"
2111,"['Soil quality criteria risk', 'Schedule risk', 'Leakage risk']"
2112,"['Nonstructural component risk', 'Seismic risk', 'Structural risk', 'Life safety risk']"
2113,"['Hazardous materials risks', 'Population risks', 'Network risks', 'Superimposed risks', 'Transportation risks', 'Chemical reaction risks', 'Interactions between different types of hazmat risks', 'Inventory risks', 'Road closure policy risks']"
2114,"['Inadequate communication of contaminated land risk', 'Reputation risk', 'Operational risk', 'Increased public concern about human health risk', 'Regulatory risk', 'Health risk', 'Environmental risk']"
2116,['Price risk']
2118,"['insolvency risks', 'Concessionaire risks', 'Currency risks', 'Construction industry risks', 'Fluctuation of inflation rate risks', 'Occupational safety and health risks', 'Financial risks', 'Design changes risks']"
2120,"['Limited control over construction risks', 'specific risk', 'Operational risk']"
2121,"['Reputation risk', 'Financial risk', 'Environmental risk', 'Operational risk']"
2123,"['Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
2124,"['Uncertainty risk', 'Variability risk', 'Unknown impact of bioremediation on risk', 'Health risk', 'Environmental risk']"
2125,"['Water demand risk', 'related risk', 'Irrigation water risk', 'Agricultural risk', 'Environmental risk']"
2129,['risk']
2132,"['value risk', 'Water absorption coefficient risk', 'Brick type and masonry structure risk', 'driven rain load risks', 'Brick type and masonry structure risks', 'Moisture damage risks', 'value risks', 'driven rain load risk']"
2135,"['Inadequate identification and assessment of risks', 'Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk', 'Compliance risk']"
2136,['Unknown or unspecified risks']
2137,"['Technical risk', 'Health and safety risk', 'Inadequate assessment of system risk', 'Organizational risk', 'Operational risk', 'Environmental risk']"
2138,"['Fire risk', 'fire risk']"
2139,"['Coastal hazard risk', 'Flood risk', 'Wind exceedance risk']"
2140,['Inadequate understanding and prediction of seismic risks']
2142,"['Risk assessment model risk', 'Uncertainty risk', 'Data collection and analysis risk', 'Operational risk', 'Implementation risk', 'Expert opinion risk', 'Damage to bridges due to various risks']"
2144,"['Entrepreneurial risk', 'Political risk']"
2159,"['Lack of understanding of contract change risks', 'Financial risk', 'Operational risk', 'Reputation risk', 'Compliance risk']"
2160,['collapse risk']
2162,['Safety risk']
2164,"['Seismic risk', 'Geological risk', 'Structural risk', 'Natural disaster risk', 'High level of risk', 'Environmental risk']"
2165,"['Risk of failure to manage risk', 'Operational risk']"
2166,"['Financial risk', 'Time risk', 'Construction risk']"
2167,"['Supply chain operational risks', 'Financial market risks']"
2169,['Dam failure risk']
2170,['Increasing flood risk']
2171,"['Growing population risk', 'Governance risk', 'Sea level rise risk', 'Climate change risk', 'Extreme weather events risk', 'Economic risk', 'Environmental risk', 'Land use change risk', 'Social risk', 'Flood risk']"
2172,"['cycle risk', 'Geological risk', 'Uncertainty risk', 'Geotechnical risk']"
2173,"['Economic risk', 'Geological risk', 'Social risk', 'Environmental risk']"
2177,"['Security of cut slope risks', 'Landform and physiognomy risks', 'Slope engineering risks', 'Uncertainty factors risks', 'Complex geological environment risks']"
2180,"['Duration risk', 'Safety risks', 'Unknown risks', 'Health risks']"
2181,"['Inconsistency risk', 'Inaccuracy risk', 'Data quality risk']"
2182,"['Safety risk', 'Unquantifiable risk', 'Construction risk', 'Control risk', 'Subjective risk']"
2183,"['Infrastructure risk', 'Community risk', 'Human activity risk', 'Geological risk', 'Natural disaster risk', 'Environmental risk']"
2184,"['Geological risk', 'Seismic risk']"
2186,"['Technical risk', 'Economic risk', 'Reputation risk', 'Regulatory risk', 'Social risk', 'Environmental risk']"
2187,"['Carcinogenic risk', 'Health risk', 'Accident risk', 'Environmental risk']"
2190,"['Financial risk', 'Safety risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Underestimated safety risk']"
2191,"['Health risks', 'Workplace safety risks']"
2193,"['Earthquake risk', 'Foundation risk', 'Environmental risk', 'Structural risk']"
2195,"['Reputation risk', 'Financial risk', 'Safety risk', 'Operational risk']"
2199,"['Risk marginal benefit risk', 'Uncertainty risk', 'Extreme risk loss risk', 'Flood control risk']"
2201,"['Operational risk', 'Reputation risk', 'Flood risk', 'Regulatory risk', 'Environmental risk']"
2202,['Health risk']
2204,['Safety risks']
2206,"['related risks', 'Seismic risks']"
2208,"['Economic risk', 'Health risk', 'Social risk', 'Environmental risk']"
2210,"['Flood disaster risk', 'flood disaster risk']"
2211,['Security risks']
2212,"['engineering risk', 'structural components risk', 'Seismic hazard risk', 'Earthquake risk', 'geological risk']"
2214,"['Financial risk', 'Fall risk', 'Safety risk', 'Cost escalation risk', 'Flood risk', 'Environmental risk']"
2215,"['Landslide risk', 'Geotechnical risk', 'Debris flow risk']"
2217,"['environmental and social risks', 'Financial risk', 'human safety risks', 'Human safety risk', 'Social risk', 'Environmental risk']"
2220,"['Flood risks', 'Fire risks', 'Vehicle design risks', 'Seismic risk']"
2221,"['Mental load risks', 'Perceived risk', 'Increasing flood risks', 'Safety risks', 'Governance risks', 'Time pressure risks']"
2224,"['Soil quality criteria risk', 'Schedule risk', 'Leakage risk']"
2225,"['Nonstructural component risk', 'Seismic risk', 'Structural risk', 'Life safety risk']"
