project,risk,stakeholder,idx
Just transition program,Lack of clear definition and understanding of justice leading to tensions between stakeholders (discrepancies in interpretation of justice,Workers involved in the just transition process,769
geologists,landslide|hazard|runout,geologists,772
Online courses,None,students|tutors|project partners,773
Science parks|medical industrial sector|triple helix formations,Innovation platforms|growth projects|managerial equation,Universities|corporations|government,774
infrastructure projects|facility construction,construction environment|hazardous wastes|environmental pollution,insurance company|construction company|government,775
geological storage of CO,None,None,2
None,potential leakage during injection and post-injection monitoring,Fundacion Ciudad de la Energia (CIUDEN|scientists|and possibly regulatory agencies involved in the project,776
None,potentially toxic concentrations of Co|Mn|and Ni were identified in both the available fraction and leachates|indicating a serious environmental risk,the potential beneficiaries of this project could be the environment,777
Sixth Street Viaduct replacement project,earthquake ground motions|seismic loading|pile-soil interaction time history analyses,California Department of Transportation (Caltrans,778
Investment project|PPP project (pp. 1-2,Multiple IRRs|cash flow may have (p. 1,Practitioners (p. 1,779
innovations to ensure long-term survival,lack of competitive pressures|limited identification of the costs and benefits of innovative ideas,public-sector supervisors|employees|public managers,780
conducting seismic risk assessment of dams|resolving various issues|presenting a numerical example,seismic risk assessment|earthquake excitation|critical failure mechanism|material properties,dam owners|engineers|researchers,782
Adsorption purification of natural gas,Study of the effect of natural gas velocity on adsorption properties (breakthrough curve measurement,Competitive adsorption theory (experimental data analysis,783
activities in social pillar of CSR,Note|remains largely unexplored,employees|companies|human resource management perspective,784
Exploring responses to messages about climate departure dates through surveys with embedded experiments in two exemplar cities (New York City and Singapore,Climate change|altering landscapes|challenging economic systems|threatening human and environmental health,Participants in the U.S. and Singapore|including conservatives and liberals|whose political orientation modifies the influence of,786
Remediation of vadose-zone soil through soil vapor extraction (SVE,Trichloroethylene (TCE) contamination,Species conservation aspects of the model|including validation through column data from soil materials of many different characteristics,787
Comparison of heart rate variability between patients with Major Depressive Disorder and normal subjects,Reduced heart rate variability|elevated heart rate|potential impact on quality of life|increased risk of card,Patients with Major Depressive Disorder|Normal Subjects|Psychiatrists|Researchers,788
Use of natural and activated acid clays as alternatives for activated carbon to remove organochloride compounds such as DXNs from MSWI flue gas at approximately 300 degrees C,De novo synthesis and decrease in adsorptive removal efficiency of dioxins (DXNs) at approximately 300 degrees C,People,789
research on albedo modification|national and international projects|assessment reports,climate change|global warming|stratospheric aerosol injections,scientists|policymakers|international communities,791
plan|activities|decisions|changes,NRC|PRA|license|operational events,staff|nuclear rector,792
construction and development in large cities,the risk of the metro projects under the BOT mode|the greatest risks will occur at the construction period of the project and the initial stage of the operation|the risks that the investors will face during different processes are different,inventors|investors,794
Study on removal of triazine herbicides by polymer clay composites,Environmental and health risks posed by triazine herbicides,Researchers studying the binding of herbicides by polymer clay composites,796
Led a three-year research program focused on the design of a structured method to analyze the need for CI by SME managers. This project had several phases|including a survey of 70 SME managers in the Midi-Pyrenees region,Competitive intelligence (CI|a relatively new field|has developed few structured methods,SME managers,799
None,exposure to toxic or pathogenic aerosols,National Institutes of Health/National Library of Medicine|pharmaceutical companies conducting research on targeted drug delivery via inh,801
the study aimed to investigate and analyze the legal and environmental aspects of nanomaterials|including their impact on human health and the environment,nanomaterials|particularly in the context of cosmetics and medical applications|pose potential health risks due to their small size and high chemical and physical activity (hazards,the,802
Assisted migration (the act of moving species threatened by climate change,Climate change|movement of species beyond their indigenous range,Species (both those that are migrated and those that are left behind|conservationsists|scientists|policymakers,804
construction of a storage dome for flyash at the Alsen AGS Lagerdorf cement works|including participation of German firms in planning|construction|and supply of technical equipment,none detected,American companies DOMTEC International and Cambelt|as well as German firms involved in the project,805
Investigation of near field ground motion effects on current practice seismic design spectrum in Tabriz|Iran,High demand for engineering structures due to near field ground motion causes higher demands for engineering structures. Also|the possibility of damage to existing buildings due to attenuation relationships during near fault ground motion,People living in Tabriz city|particularly those who work in industries|financial cent,806
Developing water savings in irrigation regions and planning South-to-North water transfer projects for the YRB,Decrease in annual natural runoff leading to drying-up in lower reaches of the Yellow River Basin (YRB|water resources scarcity crisis|and deterioration of the ecosystem,Human activities changing the,807
Reinforced landslide with one row of embedded stabilizing piles,Reduced sliding thrust on the piles due to the embedded depth of the pile heads,Practical engineering applications,809
None,None,None,811
The evaluation of the effect of plausible shifts in watershed land use on hydrologic services|including measurements of vegetation effects on hydrologic fluxes|modeling land,Payments for watershed management|land use changes|and pumping expenses could potentially lead to risks such as depletion of groundwater reserves|soil erosion|and loss of biodiversity,None,814
A detailed assessment of the level of satisfaction for sustainability prospects is necessary,Asustainable remediation methods do not yet have a consolidated approach,Decision makers in this field,815
Developing a contact-free elevator ride system (smart speech recognition|contact-free perceptual buttons|gesture recognition sensors|web page browser activated by quick response codes,Virus transmission through elevator buttons (elevator buttons,People who use elevators (residents or workers in high-rise buildings|including those who may be infected,816
studying the effects of climate change on soil erosion in Poland,soil erosion,None,817
Research and development of sustainable and appropriate technology|crowdfunding platform|etc,Availability of stable funding|stability of funds|etc,Backers|users|developers|etc,818
high-traffic project,reserve cracking capacity|rutting capacity,planning decisions,820
The European Landscape Convention|landscape character assessment (LCA|and public engagement,none detected,The article mentions several groups involved in the process|including experts|policymakers|and members of the public,821
farming|land reclamation|modification of the urban landscape,violence|attack|war,Fascist movement|Italian society|ancient Roman Empire,822
optimization of rewards and costs|application to different scenarios|development of algorithms,acceptance/rejection of items|waiting cost|time horizon,decision maker,823
Assessment of household wastewater treatment plants with drainage systems on the quality of groundwater in dug wells and deep water wells in the area of 3 selected communes (Drelow|Debowa Kloda|and Urszulin) located in the Lublin province in south-eastern Poland,Pollution of the analyzed well waters with domestic sewage discharged to soil,None,825
CDM project activity,None,None,826
Developing a new model for measuring the success of megaprojects,Delayed completion and overspending,Authors suggesting a new approach to evaluating megaproject success (e.g|focusing on producing valuable outcomes rather than adherence to traditional constraints like time and cost,827
Implementing field margin measures to reduce the risk of weed spreading,Weed spreading,Farmer respondents who participated in the survey,828
Columbia Basin Water Transactions Program,Environmental flows|freshwater biodiversity|and aquatic habitat enhancement,Imperiled salmon species|local communities|and conservation organizations,829
IS projects,failure rate of IS projects|high,IS owner and IS developer,830
conducting a systematic investigation to understand the environmental fate of MCs and the potential health risks caused by toxic cyanobacterial blooms in Lake,exposure to high levels of microcystins (MCs) through consumption of contaminated water or contact with contaminated aquatic organisms|which could pose serious health threats according to WHO guidelines and TDI for MCs,None,832
product vision,none detected,designers|developers|managers|customers,835
investigation of the P450-catalyzed ipso-substitution mechanism of the prominent xenoestrogen bisphenol A|identification of the reaction mechanism for many other phenolic ED,bioactivation mechanisms|toxic metabolites|endocrine-disrupting chemicals (EDCs|P450-catalyzed ipso-substitution mechanism,None,837
None,Unknown to us (referring to the 20-30 smaller cities with 5-10 million inhabitants,None,838
Double-shield TBM (DSTBM) construction process was conducted using a three-dimensional (3D) numerical simulation,Excavation causes stress near the tunnel boundary|which can lead to rock failure and machinery damage due to large rock mass deformations,Practical simulation of the DSTBM construction process was conducted using a three,839
wine production in developing countries|specifically Mexico|including the evaluation of anaerobic treatment for winery effluents,None,possibly the winery industry|government agencies|and environmental organizations,840
Reconstruction of a pollution history in tropical Asia through analysis of sediment cores,Subsurface maxima of polychlorinated biphenyl (PCB) concentrations in layers corresponding to the 1970s|indicating the effectiveness of regulation of PCBs in Thailand. Increase in input of sewage into the Gulf during the last 30 years|,None,841
Translating information from global climate model simulations to a finer spatial resolution|demonstrating added value from downscaling|regionalization methods for impact|adaptation|and vulnerability research,Climate change|global climate model simulations|downscaling approach|regional climate characteristics|regional climate change,Practitioners in the impact|adaptation|and vulnerability field|users of downscale,842
proposal for a methodology integration of engineering case analysis and complex network theory to obtain a stable relationship structure and reveal its inherent property,cost overrun|chronic plague|susceptibility to experts' experience,engineers|contractors|risk managers|cost managers,844
toll road projects,None,government agencies|private companies involved in toll financing and construction|and possibly local communities affected by the toll roads,845
Identification and classification of flood hazard areas|flood management|risk decision-making|GIS-MCA framework,Flood|natural disaster|harm to humans|socio-economic damage|environmental impact,Humans|communities|governments|organizations involved in flood management and risk decision-making,846
exploring the conceptualization of craft beer tourism,none detected,small brewery in Thailand,851
Department of Defense (DoD) acquisition and sustainment activities,rapidly increasing complexity of weapon system technology and logistical infrastructure|insufficiently trained workforce|outdated technical documentation|changing assumptions and input parameters over time,defense leaders in DoD and industry|program managers|weapon system users and operators,852
Marine Bioassay Project (MBP|development of sensitive test protocols|evaluation of adverse effects of waste discharges on marine populations,toxicity|waste discharge|marine pollution,State Water Resources Control Board (SWRCB|Department of Fish and Game (DFG|University of California at Santa Cruz|Scientific Review Committee (SRC|industry|academia|,855
practical project,None,None,856
"constructing 3D computational models"" and ""investigating correlation between the mechanical conditions and morphological characteristics",None,patients (11M|3F,857
Organizational|innovative|collaborative|implementation|execution|etc,Innovation|practice|benefit|advantage|attribute|etc,Firm|organization|company|industry|market|customer|etc,858
retrofitting existing housing|energy efficiency improvements|structural strengthening,building collapse|earthquake damage|structural instability,homeowners|builders|local authorities|government,859
examine the relationship between the critical factors of quality management and customer outcomes in the subject of work units in organisations,none detected,client and stakeholder satisfaction,860
CJPL-II (China Jinping Underground Laboratory phase II,High geo-stress|fracturing processes induced in the surrounding rock,The laboratory staff|engineers|scientists|and possibly local authorities involved in the project,863
The Manifa project consists of constructing 21 km of main causeways and,Dredging and land reclamation|rock armour revetments|and quarrying and placement of rock may pose risks such as accidents during these processes|potential damage to marine life and habitats|and environmental impacts,None,21
None,Distracted pedestrian behavior|such as waiting longer to cross the street|missing more safe opportunities to cross|taking longer to initiate crossing when a safe gap is available|looking left and right less often|spending more time looking away from the road|and being more likely to be hit or almost hit by an oncoming vehicle. These behaviors are considered risky because they increase the likelihood of an accident occurring,None,868
Multinational team performance involves a complex set of variables related to the organizational ambience|business process|managerial tools|and most importantly|to the people in the organization,Organizational ambiance|business process|managerial tools|and people in the organization,Team leaders|suppliers|sponsors|and partners,869
Improving resilience of those at risk of flooding in areas of the UK,Flooding|risk of flooding,At-risk population|individuals who live in areas prone to flooding,871
evaluating the spatiotemporal evolution and influencing factors of the economic resilience of tourism in China using ARIMA|POT|and GIS models,global crises|uncertainty|and improving resilience,government management ability|technological innovation level|and ecological environment quality,872
Restoration of small wetlands in Prince Edward Island (PEI|Canada,None,Northern leopard frogs|green frogs|spring peepers|American toads|and possibly local populations living near the restored wetlands,873
Exploring cybersecurity hazards using a war gaming approach|building new rail control system components,Cybersecurity threats|hackers|increased merger of cyber and physical spheres,Authors|engineers|railway operators|regulatory bodies,874
Evaluation of the structural and economic feasibility of reinforced concrete (RC) buildings with base isolation located in medium risk seismic region,Earthquakes|specifically the recent ones in the world|which coerce the concerned community to become anxious about it,Building owners|engineers|architects|and local authorities involved in the design and construction of buildings,875
measurement of the effect of eugenol on the shelf life of hot sauce from jalapeno pepper and papaya,None,cloves|as they were used as a test material during the experimentation process,876
analysis of the link between sustainability practices and new product development (NPD) in manufacturing companies,none detected,companies|suppliers|customers|employees|investors|society at large,878
INRETS and SNCF (two organizations) are involved in developing a decision support system for traffic control centers,weak time performance (a potential issue or challenge,None,879
Vulnerability mapping|roof detection and segmentation|geospatial information systems techniques,Disaster-critical areas|disaster vulnerability|natural and man-made disasters,Population|communities in the affected areas|disaster response and rescue teams,880
amplification of agroecology in Europe|development and promotion of sustainable farming and food systems,loss of biodiversity|contamination of soils|water|and food with pesticides|eutrophication of water bodies,310 stakeholders in a World Cafe exercise and 23 sessions and workshops during the Ag,881
pre-commercial thinning (PCT) of pine stands,forest management|reducing southern pine beetle (SPB) risk,landowners|society (including others who benefit from southern pine forests|Virginia's Pine Bark Beetle Prevention Program,882
studying the effects of distracted driving|using a driving simulator|analyzing video recordings and behavior observations|etc,distracted driving|texting while driving|safety impact|crash risk|etc,participants (young and middle-aged adults|researchers|road users|etc,883
"Research project entitled ""The economic awareness of the young generation of Visegrad countries"" conducted among university students in four V4 countries",None,University students of Visegrad Group countries|researchers involved in the project|possibly also university professors or administrators who supported the project,885
Development in occupational health and safety (OHS) management systems|transfer of knowledge across and along construction supply chains,Workplace injuries and fatalities|safety statistics reaching a plateau,Construction organizations involved in projects|governmental health and safety regulations|norms|and guidelines,886
Development of a risk assessment model that can identify critical potential soil loss areas for land use prioritization and soil conservation. (The proposed,Critical and sub-critical areas accounted for 4.48% and 6.05% respectively|of the entire Xiangxi watershed area. (Risk value ranged from 0 to 478.18,None,887
None,Automatic resource allocation in the LOB methodology could lead to overloading of resources|resulting in reduced productivity and increased costs,Activity durations and precedence relationships between activities are affected during resource leveling|but the duration,888
Machine building industry,Failure rate distribution|value-at-risk (VaR,None,891
None,fire and explosion risk,None,892
None,security risks,None,894
Conducting a qualitative|documentary|and descriptive study of the content of 61 rulings obtained from a search of 2335 rulings in the database of the Judicial Documentation Centre (CENDOJ) for the years 2000 to 2016,Workplace harassment is a psychosocial risk factor that increasingly affects workers,None,896
Enhancement of national geodetic control,Quality of existing geodetic network|GPS processing errors|and accuracy of baseline computations,National Survey Authority of Oman|GPS user community|and potential users of the ONGD14 dataset,897
reinforcement effects of the bridge are studied and discussed while the original load grades are maintained,none detected,bridge owners (original designers|construction teams|regulatory authorities (government agencies,898
None,none detected,None,899
Flooring renovation,Damage to the flooring due to environmental factors and inadequate usage (highly advanced degradation,Restoration specialists|homeowners|cultural heritage preservation society,900
Comparison of hydrological models induced by global and regional climate data sets to evaluate the impacts on estimated renewable water resources in Central Asia,Low precipitation|water scarcity|limited water availability,Water managers|policymakers|researchers|and communities affected by water scarcity in Kazakhstan|Kyrgyzstan|Tajikistan|Turkmenistan|,901
This project has completed a thorough review and evaluation of the state of the art in design and construction of large-span corrugated metal and reinforced concrete Arch-Shaped Cut-and-Cover (ASCC) structures,none detected,Investigators|engineers|architects|contractors|regulatory authorities|property owners|environmental impact assessment special,902
AERO2k,Neglecting diurnal variations in air traffic/contrail cover can lead to an over estimation of the global mean radiative forcing by up to 30,Airlines|European Union|Environmental organizations|Radiative forcing research communities,903
optimization of rainwater harvesting systems and utilization projects,none detected,practitioners|policymakers|researchers|middle schools (in the context of the demonstration project,905
addressing the problem of electricity and thermal cost management for a domestic customer who installed a combined heat and power (CHP) system in their house,None,consumers|homeowners|automatic home load controller systems,906
Analysis of the difficulties observed during implementation of quality management systems (QMSs) in Brazilian manufacturing companies,Difficulties observed during implementation of quality management systems (QMSs) in Brazilian manufacturing companies,Professionals working with quality management in manufacturing companies,907
Enhanced Landfill Mining (ELFM|which involves the collection and processing of different waste streams for energy production and material recovery,Environmental pollution|economic costs|and legal liabilities associated with the current landfill operation,Various groups affected by the implementation of ELFM|including waste generators|local communities|government agencies|and private companies involved in waste management and renew,908
promotion of emission-free means of transport through wide adoption of Electric Vehicles (EV) across India|including the development of an effective and efficient network of charging infrastructure,financial|market|political/legal|and operational risks,practicing engineers|academicians|researchers|and concerned industries,909
Communication|aspect|management|health|service|district|case|press release|Facebook page|study|approach|professional|training|need|institution|media|public|information,Crisis|challenge|demanding|call|rejected|infodemics|source|strategy,Public|leadership|officials|district|authorities|,911
green or natural infrastructure|traditional grey infrastructure|and blue infrastructure,None,project designers and site managers,912
Building technical project,none detected,students (more than 30|Lyon School of Architecture,913
Developing analytical predictors for ice loads,Water level changes,None,914
Pathways project|a research initiative by the National Science Foundation's NEES program|aimed at investigating the behavior of APC cladding under different loads,architectural precast concrete (APC) cladding system failure due to excessive loading beyond its design capacity,builders|engineers|property owners|and occupants who rely on the struct,916
examination of cross-border semantic sensemaking through a retrospectively constructed observational study|contributing to the International,communication disengagement|lack of experience with the market economy|difficulty in finding adequate linguistic expression|and complexity in cross-cultural adjustments|leading to potential financial losses for multinational companies (MNCs,None,917
Evaluating spatiotemporal resolutions|downscaling techniques|and global circulation model (GCM) selection impacts running multi-climate models,Decreasing trend on future wave energy up to 40% in the Iranian coastlines|and lower,People involved in the research|such as scientists|policymakers|and energy industry professionals,918
Investigation of the response of P-sensitive plants to As(V) exposure,None,Plants (specifically|Hakea prostrata|Banksia seminuda|and Cucumis sativus|Ecological risk assessment|Contaminated site assessment|Rehabilitation,920
developing a methodological framework|experimentation|survey research,measurement error|variability|inconsistencies,researchers|practitioners|developers|managers,921
improving transport efficiency,fatigue due to lack of sleep|potential accidents or incidents resulting from pilot error or other factors,pilots|passengers|airlines|regulatory bodies (such as the Federal Aviation Administration|and environmental organizations,923
Choice of a CSR activity by different classes of large basic needs industry firms,Executive level and individual manager level in a firm's choice to engage in particular CSR activities,Institutions or stakeholders explain the overall CSR strategy of the firm|but they do not explain their choices for specific activities,924
Study of aeronautical charge differential (e.g|examination of sources|Oaxaca decomposition,Financial risk (e.g|reduced use fees|financial guarantee,Airports (e.g|signatory airlines|airport management,925
Bundled submarine pipeline,Maximum water depth reaching up to 34 meters from mean sea water level|strong currents (more than 4 knots|and horizontal stability issues in the curved route,Engineers|construction teams|and regulatory authorities involved in the design|installation|and maintenance of the pipeline,927
capital construction project,construction inspection|state construction supervision,customers|developers|contractors|state construction supervision authorities,928
a model is developed,"emission reductions from avoided deforestation quickly achieve their full potential|whereas afforestation is capable of substantially reducing emissions in both the medium and long run."" (specifically mentioning the risks associated with deforestation and the potential for reduced emissions through afforest","policy effort"" (implied",929
Energy recovery through pyrolysis|which involves the thermal decomposition of organic materials in the absence of oxygen to produce bio-oil|syngas|and char,Ignition|toxicity|and environmental pollution due to the presence of hazardous elements and heavy metals in the oily sludge,Petroleum industry|environmental regulatory bodies,931
Marine zoning and associated zoning schemes,Over-regulation|loss of access for boating|mistrust of the government,Recreational boaters,932
developing a modular plastic tile surface that could encourage limited horizontal displacement via tile attachments|reducing braking forces and potential injuries,reduced foot and lower limb loading|tissue overloading|potential injury,athletes using the sports surface|sports facility owners and managers|researchers studying the impact of different sports surfaces on injury risk,934
determining the handoff time to the driver,driver distraction,drivers|passengers|car manufacturers|regulatory agencies,935
Examination of team performance|administration of survey questionnaires|comparison of self-efficacy beliefs between different cultural groups,Cultural differences|lack of confidence in virtual team environments|difference in self-efficacy beliefs between individualistic and collectivist cultures,Team members|university administrators|researchers interested in understanding the impact of cultural background on virtual,936
Construction and improvement of secure network environments for tenders (Tendering sensitive datum security|construction of intrusion detection systems|identity certification|encryption and anti-encryption techniques,Security|data protection|privacy concerns (Symmetric encryption|non-symmetric encryption|digital signatures,Users|organizations|government agencies (Network administrators|IT profession,937
The research sought to incorporate experimentally the social marketing contents within the discipline of marketing administration in the undergraduate degree in administration|in order to analyze their contributions in the formation of the students. This could be considered a project as it involved implementing new teachings into an existing curriculum,None,None,938
optimization of calculation for efficiency|design problem of vehicle safety equipment|improvement of efficiency of design of vehicle safety equipment,crash simulation|reduction of risk of injuries to occupants,occupants|authors (of the paper,939
None,None,Scientists conducting research on the salt marsh ecosystem|specifically focusing on,940
analysis of strategic environmental assessment (SEA) effectiveness in Slovenia,weak control over the implementation of mitigation measures and their effectiveness,personnel and organizations involved in SEA processes|with diverse skills and efficiency,941
development of a crashworthy heavy containment bridge rail for the Italian Highway System,damage risk to bridge superstructure,Italian Highway Agency (analyzed in detail in the passage,942
piping in industrial projects,critical and costly process|problems with current tracking method,current methods for tracking pipe spools through the supply chain (including field tests|potential economic benefits from using RFID technology in automated tracking,943
Advanced conceptual cost estimation,Difficulty of obtaining supportive information because most of the raw data is stored separately and cannot be easily traced,Cost estimators|project managers|construction companies|clients|etc,946
The article considers diverse ways of knowing|understanding|and experiencing SLR. It explores differences and connections between knowledge produced through scientific research and that which emerges through the experiences and insights of local people,Sea level rise (SLR) poses risks to ecosystems|populations|and infrastructure in low-lying areas,Local populations|who experience,948
comparison of the aquatic fate|concentration levels|and dynamics of the transformation product metolachlor ESA and its parent compound metolachlor|an often-used corn herbicide,metolachlor ESA|metolachlor,None,950
reclamation scheme of damaged land,multi-suitability selection in reclamation direction and structure,land reclamation confronts the risk that the formation of reclamation scheme is dominated by those reclamation obligors,951
Updating the Fintech system|foreign trading and hedging activities|and real estate development in different regions,Non-performing loan ratio|bad debts|Fintech-originated bad debts|and regulatory risks,Bank customers|shareholders|regulators|and the broader community in southern and northern Vietnam,952
A novel electric parking brake system is proposed to address the issues with the existing electric par,Accurate rear-wheel slip control has not been realized|and the time spent to produce the required braking force after the electric parking brake button is pressed is too long|which reduces the system's response speed and increases the vehicle's risk of instability and large braking distances,None,953
None,Escherichia coli (E. coli|Norovirus (NoV,None,954
Direct responsibility for selling and distributing physical electricity to all customers in their networks,None,Customers|retailers|Local Net Companies|and possibly insurance companies,955
Study examining the effects of,Climate change,None,956
generating theory through collecting and analyzing data using the constant comparison method|leading to theory generation,negative treatment|sanctions|sense of loss|distrust|embarrassment|dysfunctional relationships|stakeholder separation|anger|stress|and conflict,student-athletes|coaches|athletic directors|university administrators|fans|sponsors,957
eLEMO endeavour (a research project,none detected,,958
activities|development|enhance|implementation|product|practices|sharing|understanding,accelerating|ecodesign|employees|interpretation|practices,employees|company,960
Improving traffic safety under fog conditions using connected vehicle (CV) technologies,High crash risks due to deteriorating traffic flow characteristics in reduced visibility conditions,CV users|including drivers who adopt connected vehicle technology to improve their safety on the road,961
overall project approach for investigating and repairing concrete building facades,distress typically encountered in concrete facades|including causes of deterioration and their structural significance (e.g|spalling|cracking|delamination,building owners|facility managers|and construction professionals who need to understand the different types of distress and how to assess and repair,962
None,None,urban planners and traffic engineers,963
None,None,None,964
None,None,None,965
None,None,None,967
None,none detected,None,968
university industry projects|technology centers|and programs to encourage mobility,lack of progress in initiatives|which led to the emergence of new policies and structures to support innovation,None,969
None,None,None,971
Bioenergy production from grasslands managed for conservation,None,None,972
Positive Energy Districts (PED,environmental sustainability|urban heat islands mitigation|green gentrification,future outlooks|holistic thinking perspective,973
mining industry|community representation|civil society engagement,exploitation|corruption|unequal distribution of benefits,government officials|mining business|civil society representatives,974
"The development of metro projects is an essential step for the establishment of a high level of mobility..."" This","Nevertheless|underground projects of this scale require major investments and often become the objects of skepticism regarding the associated expenditures."" This suggests that there is a potential risk involved in the development of large-scale underground projects due to concerns about costs and feasibility",None,975
Design of buildings,None,None,976
Growth and decomposition of Microcystis aeruginosa (M. aeruginosa|uptake of phosphorus (P|cell activity|MCs release|and related gene expression under different concentrations of dissolved inorganic phosphorus (DIP) and dissolved organic,Toxic cyanobacteria bloom|microcystins (MCs|liver toxicity,None,977
developing a green and sustainable solution for existing concrete flat roofs without major interventions and investments to save energy,difficulty in improving indoor environmental quality due to focus on economic matters,building users who will benefit from the designed passive device,978
research simulator|business strategy,mutual interactions|particular situation,owners|employees|and customers,979
Proposal for a knowledge management approach using semantic lexicon alignment to establish collaboration between humans and systems in an interoperable manner,Knowledge systems needing agility|formal knowledge representation|and advanced reasoning features to handle complex tasks,Community knowledge assets|users|and their profiles|as well as the various e-Learning elements and users' categorization in the AL,981
Constructed a hydraulic water quality model for the lower reaches of the Xiangjiang River|China|using the hydrodynamic module and convective diffusion module of MIKESimulated six pollution incident scenarios to investigate the transport process of pollutants|as affected by an upstream dam structure|the Changsha Compre,Water pollution incidents,None,982
research for development interventions|two-way communication model,imposition of external development notions|lack of agency,marginalized communities|researchers,983
Study|exploration|relationship|factors|etc,Human errors|accident|likelihood|occurrences|factors|etc,Ship|environment|accident record|etc,984
None,None,None,985
Homeless Ballet Education|Ecomuseum project on Daebu Island,board of directors|organizational dynamics,arts organizations|leaderships|mutuality,986
Development of a numerical model for analyzing the strength and permeability of permeable concrete,Limited drainage area leading to frequent flooding|which could be addressed by using permeable concrete pavement,Researchers|developers|construction companies|homeowners|and communities affected by flooding,987
multidisciplinary research,lung cancer mortality rate,Xuan Wei county|Yunnan province,988
None,None,None,989
Experimentation on the interaction between coal ash/ER mixtures and refractory materials in a lab setting,Corrosion of refractory materials due to high iron content in coal ash,Researchers studying the effects of coal ash/ER mixtures on refractory materials in a simulated gasification atmosphere,990
None,particulate matter (PM) in Imperial Valley leads to exceedances of federal air quality standards for PM10 (diameter less than 10 micrometers,the data presented here could provide more definit,991
proposal of a novel set of double-joint braces and evaluation of their protective performance in terms of the ankle and knee,high risk of serious injury to the lower extremities,users of the proposed braces,992
Building Energy Monitoring|Analyzing and Controlling (BEMAC) framework,None,University College Cork|Environmental Research Institute|building owners/occupants|architects/designers|engineers|contractors|government agencies (e.g|energy efficiency regulators|,993
None,None,None,994
The Three Sisters residential complex,None,residents of the complex|construction team|local authorities (city of Aspern|22nd district of Vienna|environmental organizations (if any,995
None,Technical difficulty|time-critical|and competitively important,Authors of the paper,996
Conservation practices,Economic benefits|increased management needs,Adopters vs non-adopters,997
review of Project Financing Mechanism for Land Consolidation,financing mechanism for land consolidation,relevant literatures and cases|as well as existing influence factors on Project Financing Mechanism for Land Consolidation,998
Government-promoted land consolidation through Spatial Territory Reorganization (STR) model in Dongnan Village|Shandong Province,Land consolidation|urbanization|and relocation of residents,Residents of Dongnan Village|local officials|and policy makers,999
building construction,technical and financial restrictions|potential inconsistencies due to multiple model-specific identifiers referring to identical objects|redundant data,project participants|including architects|engineers|contractors|and clients,1000
progress management system|synchronizing quality inspection process with integrated cost-schedule information in construction projects,None,field managers|clients|contractors,1001
Computational models describing the distribution of a continuous output variable given input-output data,Ignoring a small percentage of the predicted responses to obtain substantial performance improvements,The reliability analysis of an aeroelastic airfoil subject to flutter instability|whose data is corrupted by model-form uncertainty and measurement noise,1002
development of a cleaner and greener aviation system,potential damage to the environment due to aviation emissions,manufacturers of large civil aircraft,1003
Improvement of filtration systems and mechanical ventilation systems in operating rooms,Exposure to surgical smoke and its potential health effects|including particle concentration levels and dose received by workers and patients,Workers and patients in operating rooms,1006
"critical argument-borrowed in part from the critique of Lacan by the French feminist Irigaray"" (a proposed idea or initiative aimed at challenging traditional gender roles and stereotypes","patriarchal form of 'thought-and-action"" (representing a potential danger or threat to gender equality",Fem,1007
binding of hazardous asbestos fibers in a polymer matrix formed from waste cooking oil,Asbestos fibers in dust form penetrate the respiratory system causing diseases,The authors,1008
reducing the height and wiring times of the test personnel,electrical test requirements for high voltage circuit breaker,test personnel,1009
Developing a framework for workforce innovation management using data from job sites|including electronic performance monitoring|building information modeling|smart contracts|and artificial intelligence,Automation and digitalization in construction 4.0 may lead to uncertainty about the extent to which manual tasks performed by humans will be replaced (uncertainty about the impact on jobs,Workers who perform manual,1010
Implementing UNCED's Chapter 13 (responsibility assigned to FAO in 1993,Deforestation (1.1% year-1,IUFRO (established a Task Force on Forests in Sustainable Mountain Development to network initiatives,1011
the modelling issues related to the adoption of the pushover analysis for the seismic assessment of existing reinforced concrete (RC) structures,none detected,the design philosophy|the geometry of the wall|the instrumentation set-up and the test programme,1012
Enhancement of schedule robustness through resource buffer insertion,Uncertainties and disruptions (managed through pro-active scheduling,Researchers and practitioners interested in improving schedule robustness (e.g|by evaluating different surrogate measures and estimating required investment,1014
Determining lake and river elevations using satellite radar altimetry,None,People living in the Lake Chad basin who could benefit from predicted lake and marsh height,1015
water transfer projects|East Route South-to-North Water Transfer project in China,water resources shortage|failure to operate a scheme,operators of water transfer systems,1016
Tracking observed banking behavior on both an annual and multi-year compliance period basis|designing dynamic program reforms that increase program stringency conditional on observed market behavior deviating from expectations,Overallocation (the program's supply of compliance instruments exceeding emissions subject to the program|persistent excess of compliance instruments purchased and banked for future use,,1019
Socio-technical configurations|technological frames|action research project,Negotiated outcome|political and power dynamics|marginalized,None,1021
analysis of high-dimensional data from Beijing International Airport and presentation of a practical flight delay prediction model,none detected,connected airports|through collaborative efforts such as delay prediction synchronization,1022
reduction of distribution costs through improved logistics management,difficulty in implementing a GIS project in Turkey due to local regulations and infrastructure limitations,major beer producer in Ankara|Turkey (as they would benefit from the cost savings,1023
None,none detected,None,1024
Modelled changes in surface water concentrations of Campylobacter|Cryptosporidium|and norovirus originating from sewage under climate change,Climate change influences infection risks through changes in pathogen influx|rising temperatures|and changing flow rates of the receiving waters,Human health|especially with regards to decreased dilution capacity,1026
